"","name","meet_year","race_group","class_year","team","meet1","meet2","meet3","Minnesota Intercollegiate Championships"
"1","  Abbott, Madeline",2014,"Women","FR","Macalester","27.55","27.06",27.305,"25.75166667"
"2","  Abbott, Madeline",2015,"Women","SO","Macalester","27.54166667","26.7",27.120833335,"27.17666667"
"3","  Abbott, Madeline",2016,"Women","JR","Macalester","29.18833333","27.22166667",27.13833333,"28.04333333"
"4","  Abbott, Madeline",2017,"Women","SR","Macalester","28.21166667","30.05166667",28.99166667,"26.75"
"5","  Abegglen, Samuel",2016,"Men","FR","Gustavus Adolphus","32.65","30.71333333",30.74333333,"30.90833333"
"6","  Abegglen, Samuel",2017,"Men","SO","Gustavus Adolphus","30.91166667","32.28333333",31.5975,"31.04333333"
"7","  Adrian, Emily ",2016,"Women","SO","St. Thomas","31.46333333","30.375",30.919166665,"31.82666667"
"8","  Agre, Mata",2015,"Women","SR","Gustavus Adolphus","24.57833333","24.92833333",24.75333333,"25.27833333"
"9","  Ahlstrom, Leighlin",2016,"Women","FR","St. Catherine","23.29833333","25.95666667",24.6275,"23.79833333"
"10","  Ahlstrom, Leighlin",2017,"Women","SO","St. Catherine","25.83333333","25.315",25.574166665,"24.70833333"
"11","  Aldama, Sarah",2016,"Women","JR","Macalester","30.06","28.01166667",28.34666667,"29.10166667"
"12","  Aldama, Sarah",2017,"Women","SR","Macalester","27.58166667","28.67833333",28.13,"27.17166667"
"13","  Alfvin, Erik",2014,"Men","SR","Macalester","29.70666667","28.07",28.888333335,"27.07166667"
"14","  Algren, Mikaela",2015,"Women","FR","Gustavus Adolphus","24.86833333","24.96",24.914166665,"25.94"
"15","  Algren, Mikaela",2016,"Women","JR","Gustavus Adolphus","27.2","25.01666667",25.42833333,"26.34666667"
"16","  Allaben, Sarah",2017,"Women","FR","Carleton","23.90333333","25.22",24.905,"24.48166667"
"17","  Alpers, Lauren ",2017,"Women","FR","Bethel","26.22","28.69333333",27.456666665,"25.37833333"
"18","  Andersen, Kara",2016,"Women","FR","Concordia Moorhead","24.7","25.07166667",26,"24.87666667"
"19","  Andersen, Kara",2017,"Women","SO","Concordia Moorhead","25.72166667","24.53333333",25.33333333,"23.86333333"
"20","  Anderson, Haley",2016,"Women","FR","Gustavus Adolphus","27.76666667","26.45666667",25.78833333,"26.005"
"21","  Anderson, Haley",2017,"Women","SO","Gustavus Adolphus","24.765","25.24833333",25.006666665,"24.27666667"
"22","  Anderson, Sarah ",2016,"Women","FR","Gustavus Adolphus","27.95","24.80666667",25.18166667,"25.45166667"
